"Board","Profession","Owner Name","Series","Modifier","Mail Address 1","Mail Address 2","Mail Address 3","Mail City","Mail State","Mail ZIP","Mail County","DBA","Location Address 1","Location Address 2","Location Address 3","Location City","Location State","Location ZIP","Location County","License Number","Primary Status","Secondary Status","Original Licensure Date","Effective Date","Expiration Date","Tax Stamp Designation","Smoking Designation","Retail Tobacco Indicator"
"400","4005","PEPIN DISTRIBUTING COMPANY LLC","KLD","","4121 N 50TH ST","","","TAMPA","FL","33610","39","PEPIN DISTRIBUTING CO","4121 N 50TH ST","","","TAMPA","FL","33610","39","WSL3900230","20","20","","03/22/2013","09/30/2024","","",""
"400","4005","WISMETTAC ASIAN FOODS INC","KLD","","13409 ORDEN DR.","","","SANTA FE SPRINGS","CA","90670","705","WISMETTAC ASIAN FOODS","3941 COMMERCE PKY","","","MIRAMAR","FL","33025","16","WSL1613770","20","20","","04/01/2002","03/31/2025","","",""
"400","4005","TRIPLE P DISTRIBUTING CO INC","KLD","","3601 REGENT  BLVD","","","JACKSONVILLE","FL","32224","26","NORTH FLORIDA SALES","3601 REGENT BLVD","","","JACKSONVILLE","FL","32224","26","WSL2606808","20","20","","05/10/2018","09/30/2024","","",""
"400","4005","TRIPLE P DISTRIBUTING CO INC","KLD","","467 SW RING CT","","","LAKE CITY","FL","32025","22","NORTH FLORIDA SALES","467 SW RING CT","","","LAKE CITY","FL","32025","22","WSL2200702","20","20","","05/10/2018","09/30/2024","","",""
"400","4005","SOUTHERN EAGLE DISTRIBUTING INC","KLD","","P O BOX 12399","","","FT PIERCE","FL","349791120","66","SOUTHERN EAGLE DISTRIBUTING INC","5300 GLADES CUTOFF RD","","","FT PIERCE","FL","34900","66","WSL6600070","20","20","","03/14/2012","03/31/2025","","",""
"400","4005","CHAUTAUQUA VINEYARDS & WINERY INC","AMW","","P O BOX 1308","","","DEFUNIAK SPRINGS","FL","32435","76","EMERALD COAST WINERY","1708 OLD HWY 98 EAST","","","DESTIN","FL","32550","76","WSL7600969","20","20","02/26/2002","08/02/2002","09/30/2024","","",""
"400","4005","CHAUTAUQUA VINEYARDS & WINERY INC","AMW","","P O BOX 1308","","","DEFUNIAK SPRINGS","FL","32433","76","CHAUTAUQUA WINERY","364 HUGH ADAMS RD","","","DEFUNIAK SPRINGS","FL","32433-9998","76","WSL7600402","20","20","","08/02/2002","09/30/2024","","",""
"400","4005","CHAUTAUQUA VINEYARDS & WINERY INC","JDBW","","P O BOX 1308","","","DEFUNIAK SPRINGS","FL","32433","76","CHAUTAUQUA WINERY","364 HUGH ADAMS RD","","","DEFUNIAK SPRINGS","FL","32433-9998","76","WSL7600570","20","20","","08/02/2002","09/30/2024","","",""
"400","4005","CONDAL IMPORTS INC","IMPR","","531 DUPONT STREET","","","BRONX","NY","10474","","CONDAL IMPORTS INC","11117 WEST OKEECHOBEE ROAD #108","","","HIALEAH GARDENS","FL","33018-4212","23","WSL2323853","20","20","03/21/2000","08/02/2002","09/30/2025","","",""
"400","4005","BIANCA M CORPORATION","MEXP","","1202 N. 19TH STREET","","","TAMPA","FL","33605","39","FLORIDA SHIP SUPPLY","1202 NORTH 19TH STREET","","","TAMPA","FL","33601","39","WSL3904255","20","20","","11/07/2014","09/30/2025","","",""
