"","distributor","location_address_1","location_address_2","location_address_3","location_city","location_state","location_zip","original_licensure_date","total_pints","total_quarts","total_bulk_gallons","total_gallons"
"1","WICKED BARLEY","4100 BAYMEADOWS ROAD",NA,NA,"JACKSONVILLE","FL","32217",2016-09-01,0,0,38310.86,38310.86
"2","DOG ROSE BREWING CO","77 BRIDGE ST",NA,NA,"SAINT AUGUSTINE","FL","32084",2017-10-11,3558,0,20795.4,21240.15
"3","INTUITION ALE WORKS","929 E BAY STREET",NA,NA,"JACKSONVILLE","FL","32202",2016-08-22,14520,0,17444.41,19259.41
"4","SOUTHERN SWELLS BREWING COMPANY","1312 BEACH BOULEVARD",NA,NA,"JACKSONVILLE BEACH","FL","32250",2017-01-18,52284,1354,11642.81,18516.81
"5","AARDWOLF BREWING CO LLC","1461 HENDRICKS AVENUE",NA,NA,"JACKSONVILLE","FL","32207",2013-05-01,25824,852,14774.31,18215.31
"6","STRINGS SPORTS BREWERY","1850 N MAIN ST",NA,NA,"JACKSONVILLE","FL","32206",2021-06-10,0,3743,16596.89,17532.64
"7","OLD COAST ALES INC","300 ANASTASIA BLVD","UNIT C",NA,"SAINT AUGUSTINE","FL","32080",2016-11-16,0,1125,14732.49,15013.74
"8","ENGINE 15 BREWING CO","1500 BEACH BLVD #217",NA,NA,"JACKSONVILLE BEACH","FL","32250",2012-06-07,6639,144,12627.33,13493.205
"9","BOLD CITY BREWERY LLC","2670 ROSSELLE ST #7",NA,NA,"JACKSONVILLE","FL","32204",2008-09-08,37852,0,7990.46,12721.96
"10","GREEN ROOM BREWING","228 3RD ST N",NA,NA,"JACKSONVILLE BEACH","FL","32250",2011-07-20,3244,0,12100.74,12506.24
"11","TAVERN BY AIBC; ALLEY BY AIBC; AMELIA TAVERN","318 CENTRE STREET",NA,NA,"FERNANDINA BEACH","FL","32034",2018-10-01,0,0,11818.17,11818.17
"12","BOG BREWING COMPANY","218 WEST KING STREET",NA,NA,"SAINT AUGUSTINE","FL","32084",2016-01-19,0,0,11317.39,11317.39
"13","INK FACTORY BREWING","602 SHETTER AVENUE",NA,NA,"JACKSONVILLE BEACH","FL","32250",2021-05-06,17720,0,8807.31,11022.31
"14","FISHWEIR BREWING COMPANY","1183 EDGEWOOD AVENUE S",NA,NA,"JACKSONVILLE","FL","32205",2018-10-25,10392,0,9563,10862
"15","REVE BREWING","1237 MAYPORT ROAD",NA,NA,"ATLANTIC BEACH","FL","32233",2018-07-16,17090,0,7928.38,10064.63
"16","ZETA JAX INC","131 1ST AVENUE N",NA,NA,"JACKSONVILLE BEACH","FL","32250",2015-01-30,0,0,8780.46,8780.46
"17","LEGACY ALE WORKS","14965 OLD ST. AUGUSTINE ROAD","UNITS 129 AND 130",NA,"JACKSONVILLE","FL","32258",2019-02-15,0,0,8602.42,8602.42
"18","VETERANS UNITED CRAFT BREWERY","8999 WESTERN WAY #104",NA,NA,"JACKSONVILLE","FL","32256",2014-06-03,22068,0,5833.51,8592.01
"19","BOTTLENOSE BREWING","9700-1 DEER LAKE COURT",NA,NA,"JACKSONVILLE","FL","32246",2023-01-19,0,0,8440.85,8440.85
"20","KING MAKER BREWING","720 KING STREET",NA,NA,"JACKSONVILLE","FL","32204",2019-10-25,155,0,8362.54,8381.915
"21","FIRST LOVE BREWING","22 SOUTH 8TH STREET STE 5",NA,NA,"FERNANDINA BEACH","FL","32034",2020-03-25,0,0,7549.58,7549.58
"22","AZALEA CITY BREWING COMPANY","120 SOUTH 7TH STRET",NA,NA,"PALATKA","FL","32177",2019-04-25,0,0,6356.23,6356.23
"23","SJ BREWING COMPANY","463646 SR 200","STE 13",NA,"YULEE","FL","32097",2018-07-26,0,0,5518.41,5518.41
"24","ANCIENT CITY BREWING COMPANY LLC","3420 AGRICULTURAL CENTER DRIVE","SUITE 8",NA,"SAINT AUGUSTINE","FL","32092",2015-07-09,14250,0,3678.98,5460.23
"25","JEKYLL BREWING","131 1ST AVENUE NORTH",NA,NA,"JACKSONVILLE BEACH","FL","32250",2023-05-10,852,0,4783.26,4889.76
"26","DISCO WITCH BREWING","464073  SR 200","UNIT 7",NA,"YULEE","FL","32097",2022-03-29,0,0,4374.66,4374.66
"27","COQUINA COAST BREWING COMPANY","318 MOODY BLVD",NA,NA,"FLAGLER BEACH","FL","32137",2020-07-13,0,0,3021.5,3021.5
"28","HISTORICALLY HOPPY BREWING COMPANY","1636 N MAIN ST",NA,NA,"JACKSONVILLE","FL","32206",2022-04-22,0,0,2970.85,2970.85
"29","BOLD CITY DOWNTOWN","109 EAST BAY STREET",NA,NA,"JACKSONVILLE","FL","32202",2017-03-28,3618,0,2469.8,2922.05
"30","MYRTLE AVENUE BREWING","633 MYRTLE AVENUE NORTH",NA,NA,"JACKSONVILLE","FL","32204",2022-11-17,0,0,1322.67,1322.67
"31","GRACE NOTE BREWING","4591 LAKESIDE DR",NA,NA,"JACKSONVILLE","FL","32210",2023-08-11,0,0,0,0
"32","MOCAMA BEER COMPANY","629 S 8TH STREET",NA,NA,"FERNANDINA BEACH","FL","32034",2020-04-14,0,0,0,0
